status,min,max,mean,std,p90,p99
400,0,0.454,0.021038849347568177,0.05340047538648567,0.036,0.313
500,0,0.603,0.022996862521391936,0.05780905399149559,0.039,0.32
200,0,0.455,0.023093991671624084,0.05775523227115923,0.039,0.322
